zipcode,number_hotels,hotel_meanprice,hotel_maxprice,hotel_minprice
10001,42,286.7380952,536,89
10002,24,228.7083333,395,72
10003,5,431.8,575,242
10004,5,343.8,368,305
10005,5,347.4,534,237
10006,6,385.5,539,278
10007,5,582,1265,263
10010,7,426.2857143,956,195
10011,12,307.25,459,155
10012,3,354.6666667,525,114
10013,22,320.3636364,600,159
10014,3,227,278,134
10016,24,317.125,561,102
10017,23,398.6521739,845,145
10018,39,334.7692308,829,119
10019,48,434.9583333,1295,161
10021,2,1010.5,1305,716
10022,18,458.2222222,1095,145
10023,6,488.8333333,1295,98
10024,6,224.5,279,159
10025,6,133.1666667,187,50
10026,1,129,129,129
10027,1,198,198,198
10030,1,94,94,94
10032,1,219,219,219
10035,2,324,499,149
10036,52,332.1923077,835,151
10038,11,363.7272727,484,279
10065,6,637.1666667,925,348
10075,1,795,795,795
10128,3,228,271,161
10282,1,622,622,622
10310,1,165,165,165
10314,6,128.3333333,142,110
10451,2,163.5,184,143
10452,1,144,144,144
10453,1,109,109,109
10455,2,179,223,135
10459,1,169,169,169
10460,1,123,123,123
10461,1,299,299,299
10467,1,160,160,160
10502,1,90,90,90
10522,1,148,148,148
10523,5,116.4,172,88
10543,1,105,105,105
10580,1,249,249,249
10591,6,219.8333333,319,152
10601,1,206,206,206
10604,2,251.5,324,179
10606,1,120,120,120
10701,3,145.3333333,180,123
10704,1,161,161,161
10710,3,133,150,101
10801,2,185,209,161
10954,4,119.25,166,85
10960,3,104.6666667,127,77
10962,1,136,136,136
10965,1,191,191,191
10977,1,75,75,75
10994,1,80,80,80
11001,2,98,98,98
11021,2,151,167,135
11030,1,84,84,84
11050,2,192,199,185
11101,27,173.0740741,325,105
11103,1,199,199,199
11106,1,119,119,119
11201,9,342.7777778,629,206
11205,2,152.5,170,135
11206,3,112,144,76
11207,1,329,329,329
11208,2,205.5,296,115
11209,1,139,139,139
11211,2,146.5,189,104
11215,4,377.75,999,149
11216,3,166,189,150
11217,5,194.6,309,110
11218,1,106,106,106
11220,2,123.5,127,120
11221,1,211,211,211
11222,4,271.5,409,99
11223,1,179,179,179
11231,3,120.6666667,140,111
11232,6,130.6666667,161,105
11233,1,199,199,199
11234,1,110,110,110
11235,2,183.5,190,177
11236,1,150,150,150
11237,1,150,150,150
11249,4,285.5,379,179
11354,15,163.0666667,294,79
11355,1,188,188,188
11356,1,125,125,125
11357,1,135,135,135
11361,3,143.3333333,159,122
11365,2,171,199,143
11368,6,161.6666667,209,123
11369,5,195.4,254,151
11370,2,142,144,140
11374,1,169,169,169
11378,2,154,168,140
11414,1,136,136,136
11422,1,176,176,176
11426,1,119,119,119
11430,1,188,188,188
11432,1,354,354,354
11434,9,144.5555556,191,105
11435,7,121.2857143,150,110
11436,4,216.25,287,152
11514,2,200,209,191
11520,1,129,129,129
11530,4,180,207,129
11542,1,149,149,149
11553,1,129,129,129
11559,1,149,149,149
11560,1,129,129,129
11561,2,142.5,185,100
11563,1,177,177,177
11566,1,104,104,104
11570,4,161.25,194,110
11576,2,130,135,125
11590,5,186.6,275,110
11691,1,159,159,159
11692,1,129,129,129
11732,1,84,84,84
11753,3,112,166,81
11791,1,107,107,107